,User ID,Year last purchased,Month last purchased,Day last purchased,DayOfWeek last purchased,N days to date,N Courses,Category_Digestivo,Category_Enfermería Básica,Category_Geriatría,Category_Gestión,Category_Mujer,Category_Pediatría,Category_Urgencias,Credits Max,Credits Mean,Credits Min,Credits Sum,Current Value Max,Current Value Mean,Current Value Min,Current Value Sum,Hours Max,Hours Mean,Hours Min,Hours Sum,Target
0,1279600,2017,3,27,0,2486,1,0,1,0,0,0,0,0,9.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,70.0,70.0,70.0,70.0,Antibioterapia Básica
1,1279927,2017,3,27,0,2486,1,0,1,0,0,0,0,0,9.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,70.0,70.0,70.0,70.0,Electrocardiografía
2,1280019,2017,3,27,0,2486,1,0,1,0,0,0,0,0,9.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,70.0,70.0,70.0,70.0,Curso Completo De Diálisis Peritoneal
3,1280164,2017,3,27,0,2486,1,0,1,0,0,0,0,0,9.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,70.0,70.0,70.0,70.0,Antibioterapia Básica
4,1280285,2018,6,3,6,2053,2,1,0,0,0,0,0,1,6.5,6.25,6.0,12.5,29.0,29.0,29.0,58.0,50.0,47.5,45.0,95.0,Menopausia
5,1280376,2017,3,27,0,2486,1,0,1,0,0,0,0,0,9.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,70.0,70.0,70.0,70.0,Introducción A La Enfermería En Endoscopia Digestiva
6,1280418,2017,10,17,1,2282,2,0,1,0,0,0,0,1,9.0,7.5,6.0,15.0,19.0,12.0,5.0,24.0,70.0,57.5,45.0,115.0,Antibioterapia Básica
7,1281496,2017,3,27,0,2486,1,0,1,0,0,0,0,0,9.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,70.0,70.0,70.0,70.0,Antibioterapia Básica
8,1281618,2017,3,27,0,2486,1,0,1,0,0,0,0,0,9.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,70.0,70.0,70.0,70.0,Antibioterapia Básica
9,1281885,2017,11,7,1,2261,1,0,1,0,0,0,0,0,9.0,9.0,9.0,9.0,19.0,19.0,19.0,19.0,70.0,70.0,70.0,70.0,Urgencias Obstétricas Extrahospitalarias
10,1282523,2017,3,28,1,2485,1,0,1,0,0,0,0,0,9.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,70.0,70.0,70.0,70.0,Antibioterapia Básica
11,1283816,2017,3,28,1,2485,1,0,1,0,0,0,0,0,9.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,70.0,70.0,70.0,70.0,Introducción A La Enfermería En Endoscopia Digestiva
12,1283931,2018,4,10,1,2107,2,1,1,0,0,0,0,0,9.0,7.75,6.5,15.5,29.0,17.0,5.0,34.0,70.0,60.0,50.0,120.0,Electrocardiografía
13,1284873,2017,3,28,1,2485,1,0,1,0,0,0,0,0,9.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,70.0,70.0,70.0,70.0,Antibioterapia Básica
14,1287709,2017,3,28,1,2485,1,0,1,0,0,0,0,0,9.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,70.0,70.0,70.0,70.0,Antibioterapia Básica
15,1352572,2019,4,7,6,1745,5,0,3,0,0,0,0,2,9.0,7.32,4.7,36.6,29.0,29.0,29.0,145.0,70.0,50.0,35.0,250.0,Planificación Familiar
16,1419738,2022,12,20,1,392,4,0,1,0,0,0,0,3,9.1,6.0,4.7,24.0,29.0,26.5,19.0,106.0,70.0,48.75,35.0,195.0,Tecnologías De La Información En Entornos Sanitarios
17,1519728,2022,2,19,5,696,2,0,1,0,0,1,0,0,8.7,7.8999999999999995,7.1,15.799999999999999,39.0,34.0,29.0,68.0,70.0,70.0,70.0,140.0,Menopausia
18,1584460,2017,5,23,1,2429,1,0,1,0,0,0,0,0,9.0,9.0,9.0,9.0,19.0,19.0,19.0,19.0,70.0,70.0,70.0,70.0,Antibioterapia Básica
19,1591218,2018,11,3,5,1900,2,0,1,0,0,0,0,0,8.8,8.8,8.8,8.8,29.0,29.0,29.0,29.0,50.0,50.0,50.0,50.0,Técnicas Invasivas En Urgencias Y Emergencias
20,1591221,2022,4,5,1,651,8,1,2,0,0,2,2,1,8.8,7.125,4.7,57.0,49.0,29.0,19.0,232.0,70.0,55.0,35.0,440.0,Lesiones Deportivas
21,1591222,2018,10,29,0,1905,1,0,1,0,0,0,0,0,8.8,8.8,8.8,8.8,29.0,29.0,29.0,29.0,50.0,50.0,50.0,50.0,Evaluación Y Tratamiento De Úlceras Por Presión
22,1591248,2018,3,26,0,2122,2,1,1,0,0,0,0,0,6.5,5.6,4.7,11.2,49.0,39.0,29.0,78.0,50.0,42.5,35.0,85.0,Planificación Familiar
23,1591251,2017,6,28,2,2393,1,0,1,0,0,0,0,0,4.7,4.7,4.7,4.7,19.0,19.0,19.0,19.0,35.0,35.0,35.0,35.0,Introducción A La Enfermería En Endoscopia Digestiva
24,1591295,2017,6,29,3,2392,1,0,1,0,0,0,0,0,4.7,4.7,4.7,4.7,19.0,19.0,19.0,19.0,35.0,35.0,35.0,35.0,Violencia De Género
25,1591311,2021,11,28,6,779,3,0,1,0,0,1,0,1,8.7,7.533333333333334,6.0,22.6,39.0,32.333333333333336,29.0,97.0,70.0,61.666666666666664,45.0,185.0,Lesiones Deportivas
26,1591315,2022,10,5,2,468,5,0,1,0,0,0,0,4,9.1,6.5,4.7,32.5,29.0,29.0,29.0,145.0,70.0,51.0,45.0,255.0,Atención Al Paciente Politraumatizado Y Grandes Quemados
27,1591333,2018,6,30,5,2026,2,1,1,0,0,0,0,0,6.5,5.6,4.7,11.2,29.0,24.0,19.0,48.0,50.0,42.5,35.0,85.0,Complicaciones Durante El Embarazo
28,1591361,2022,10,13,3,460,4,0,2,0,0,0,0,2,9.1,7.15,4.7,28.6,29.0,24.0,19.0,96.0,70.0,50.0,35.0,200.0,Cuidados Intensivos Respiratorios
29,1591362,2023,2,14,1,336,3,0,1,0,0,0,0,1,9.1,8.95,8.8,17.9,49.0,39.0,29.0,78.0,70.0,60.0,50.0,120.0,Técnicas Invasivas En Urgencias Y Emergencias
30,1591372,2022,10,12,2,461,5,1,4,0,0,0,0,0,9.0,5.86,3.3,29.3,29.0,27.0,19.0,135.0,70.0,47.0,25.0,235.0,Lactancia Materna
31,1591373,2017,7,3,0,2388,1,0,1,0,0,0,0,0,4.7,4.7,4.7,4.7,19.0,19.0,19.0,19.0,35.0,35.0,35.0,35.0,Introducción A La Enfermería En Endoscopia Digestiva
32,1591400,2018,7,18,2,2008,2,0,2,0,0,0,0,0,8.8,6.75,4.7,13.5,29.0,29.0,29.0,58.0,50.0,47.5,45.0,95.0,Manejo Integral De La Vía Aérea Difícil
33,1591421,2017,6,26,0,2395,1,0,1,0,0,0,0,0,4.7,4.7,4.7,4.7,19.0,19.0,19.0,19.0,35.0,35.0,35.0,35.0,Violencia De Género
34,1591425,2017,11,30,3,2238,2,0,2,0,0,0,0,0,9.0,9.0,9.0,18.0,19.0,19.0,19.0,38.0,70.0,70.0,70.0,140.0,Introducción A La Enfermería En Endoscopia Digestiva
